0,1,Year,Language,Rank[a],Title,Production company,Distributor,Worldwide gross,Ref.,Opening,Opening.1,Director,Cast,Studio (production house)
,,2025,hindi,,Pune Highway,,,,[74],M A Y,23.0,Rahul da CunhaBugs Bhargava Krishna,Jim SarbhAmit SadhManjari FadnisKetaki Narayan,"Drop D Films, Ten Years Younger Productions"
,,2025,hindi,,Kesari Veer,,,,[75],M A Y,23.0,Prince Dhiman,Suniel ShettyVivek OberoiSooraj PancholiAkansha Sharma,Chauhan Studios
,,2025,hindi,,Chidiya,,,,[76],M A Y,30.0,Mehran Amrohi,Vinay PathakAmruta Subhash Svar KambleAyush Pathak,"Smiley Films, Key Media Works"
,,2025,hindi,,Interrogation,,,,[77],M A Y,30.0,Ajoy Varma Raja,Manu SinghRajpal Yadav Darshan JariwalaYashpal SharmGirish Kulkarni,"Aryan Brothers Entertainment Film, Naam Mein Kya Rakha Hai Production, ZEE5"
,,2025,hindi,,Stolen,,,,[78],J U N,4.0,Karan Tejpal,Abhishek BanerjeeHarish KhannaMia MaelzerSahidur RahamanShubham Vardhan,"Jungle Book Studio, Amazon Prime Video"
,,2025,hindi,,Housefull 5,,,,[79][80],J U N,6.0,Tarun Mansukhani,Akshay KumarRiteish DeshmukhSanjay DuttAbhishek BachchanNana PatekarFardeen KhanDino MoreaChunky PandeyJackie ShroffNikitin DheerShreyas TalpadeRanjeetJohnny LeverJacqueline FernandezNargis FakhriSonam BajwaChitrangda SinghSoundarya Sharma,Nadiadwala Grandson Entertainment
,,2025,hindi,,Sitaare Zameen Par,,,,[81],J U N,20.0,R. S. Prasanna,Aamir KhanGenelia Deshmukh,Aamir Khan Productions
,,2025,hindi,,Detective Sherdil,,,,[82],J U N,20.0,Ravi Chhabriya,Diljit DosanjhDiana PentyBoman IraniChunky PandayRatna Pathak ShahBanita SandhuSumeet Vyas,"AAZ Films, Offside Entertainment, Maurya Entertainment, ZEE5"
,,2025,hindi,,Maa,,,,[83],J U N,27.0,Vishal Furia,KajolRonit RoyIndraneil SenguptaKherin Sharma,"Jio Studios, Devgn Films, Panorama Studios"
,,2025,hindi,,Well Done C.A Sahab!,,,,[84],J U N,27.0,Sarvesh Kumar Singh,Gopal DattGaurav PaswalaJyoti KapoorSayandeep SenguptaNishma SoniArchan TrivediMakrand ShuklaSamar JajoriyaSam JajoriyaRama Krishna Dixit,Figures and Frames
